epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,8231.24,0.20009,0.15686,0.83141,0.9937,0.96426,0.9814,0.97965,0.12252,0.09152,0.8304,0.008218,0.008218,0.008218
56,8378.59,0.19494,0.15285,0.8322,0.99387,0.9643,0.98144,0.97968,0.12234,0.09139,0.83034,0.008185,0.008185,0.008185
57,8527.54,0.1933,0.15384,0.829,0.99388,0.96447,0.98149,0.97976,0.12216,0.0913,0.83036,0.008152,0.008152,0.008152
58,8676.85,0.19272,0.15304,0.82723,0.99459,0.96437,0.98161,0.97984,0.12182,0.09095,0.83027,0.008119,0.008119,0.008119
59,8824.43,0.19574,0.15433,0.82788,0.99447,0.96443,0.98162,0.97988,0.12166,0.09074,0.83011,0.008086,0.008086,0.008086
60,8974.06,0.19639,0.15413,0.83027,0.99497,0.96451,0.98182,0.98001,0.12161,0.09055,0.83,0.008053,0.008053,0.008053
61,9122.33,0.19606,0.15454,0.82877,0.99496,0.96446,0.98182,0.98001,0.1214,0.09037,0.83018,0.00802,0.00802,0.00802
62,9271.07,0.19496,0.1559,0.83241,0.99576,0.96429,0.98187,0.98006,0.12111,0.09019,0.83025,0.007987,0.007987,0.007987
63,9420.65,0.19371,0.15165,0.83459,0.99573,0.96429,0.98192,0.98014,0.12145,0.0906,0.83022,0.007954,0.007954,0.007954
64,9568.13,0.18949,0.15053,0.83009,0.99574,0.96417,0.98182,0.98006,0.12109,0.09049,0.83018,0.007921,0.007921,0.007921
65,9716.24,0.18951,0.15155,0.82722,0.99579,0.96401,0.98187,0.98011,0.12094,0.09052,0.83021,0.007888,0.007888,0.007888
66,9865.84,0.19059,0.15038,0.8294,0.99584,0.96397,0.98189,0.98007,0.12048,0.09046,0.83035,0.007855,0.007855,0.007855
67,10013.2,0.18826,0.14845,0.82806,0.99609,0.96392,0.98194,0.98012,0.12018,0.09054,0.83036,0.007822,0.007822,0.007822
68,10161.7,0.18952,0.15019,0.83101,0.99626,0.96397,0.98201,0.98018,0.12004,0.09099,0.83037,0.007789,0.007789,0.007789
69,10311.5,0.19034,0.15124,0.83045,0.99593,0.96393,0.98205,0.98023,0.11988,0.0914,0.83054,0.007756,0.007756,0.007756
70,10458.8,0.18864,0.15096,0.82525,0.99568,0.96389,0.98194,0.98012,0.11999,0.0921,0.83057,0.007723,0.007723,0.007723
71,10608.3,0.18788,0.15099,0.8261,0.99569,0.96385,0.98188,0.98006,0.11972,0.09274,0.83054,0.00769,0.00769,0.00769
72,10756.3,0.18939,0.15024,0.82847,0.99653,0.9638,0.98191,0.98009,0.11992,0.09357,0.83058,0.007657,0.007657,0.007657
73,10904.2,0.18725,0.14974,0.82752,0.99644,0.96368,0.98183,0.98002,0.11976,0.09437,0.83061,0.007624,0.007624,0.007624
74,11054,0.18565,0.14683,0.82683,0.99651,0.96346,0.98197,0.98014,0.11964,0.09519,0.83049,0.007591,0.007591,0.007591
75,11202.1,0.18384,0.14782,0.82594,0.99668,0.96354,0.98199,0.98016,0.1197,0.09547,0.83055,0.007558,0.007558,0.007558
76,11350.2,0.18299,0.15638,0.8238,0.99727,0.96322,0.98198,0.98015,0.11977,0.09518,0.83069,0.007525,0.007525,0.007525
77,11499.9,0.18388,0.14708,0.82952,0.99799,0.96334,0.98198,0.98014,0.11976,0.09444,0.83058,0.007492,0.007492,0.007492
78,11647.1,0.18625,0.15041,0.8288,0.99858,0.96339,0.98184,0.98002,0.11963,0.09383,0.83068,0.007459,0.007459,0.007459
79,11795.4,0.18505,0.14885,0.82741,0.99821,0.96379,0.98179,0.97997,0.11986,0.09293,0.83097,0.007426,0.007426,0.007426
80,11944.9,0.17996,0.14586,0.8243,0.99855,0.96372,0.98174,0.97993,0.11997,0.09217,0.83103,0.007393,0.007393,0.007393
81,12092.3,0.18173,0.14518,0.82517,0.99872,0.96363,0.98184,0.98002,0.12008,0.09169,0.83101,0.00736,0.00736,0.00736
82,12241.6,0.18152,0.14477,0.8249,0.9989,0.96303,0.98181,0.98002,0.12034,0.0917,0.83108,0.007327,0.007327,0.007327
83,12390.1,0.18033,0.14623,0.82436,0.99917,0.96322,0.9818,0.98002,0.12025,0.09155,0.83112,0.007294,0.007294,0.007294
84,12537.7,0.17834,0.14511,0.82717,0.99916,0.96326,0.98186,0.98007,0.12022,0.09138,0.8312,0.007261,0.007261,0.007261
85,12687.1,0.17758,0.14591,0.82255,0.99917,0.96289,0.98192,0.98014,0.12003,0.09151,0.83106,0.007228,0.007228,0.007228
86,12834.4,0.1746,0.14201,0.82119,0.99936,0.96267,0.98206,0.98026,0.11998,0.0914,0.8309,0.007195,0.007195,0.007195
87,12982.4,0.17813,0.14208,0.82412,0.99937,0.96291,0.98211,0.98032,0.11961,0.09107,0.83085,0.007162,0.007162,0.007162
88,13132,0.17656,0.14283,0.82232,0.99935,0.96289,0.9821,0.98031,0.11927,0.09069,0.83072,0.007129,0.007129,0.007129
89,13279.3,0.17921,0.1449,0.82599,0.99932,0.96292,0.98217,0.98036,0.11884,0.09065,0.83061,0.007096,0.007096,0.007096
90,13427.6,0.17597,0.14974,0.82007,0.99925,0.96322,0.98217,0.98037,0.11857,0.09016,0.83062,0.007063,0.007063,0.007063
91,13577.1,0.1794,0.14546,0.8237,0.99932,0.96326,0.98223,0.98042,0.11816,0.09007,0.83064,0.00703,0.00703,0.00703
92,13724.3,0.17297,0.14014,0.82353,0.99934,0.96326,0.98228,0.98047,0.11794,0.09015,0.83059,0.006997,0.006997,0.006997
93,13873.2,0.17531,0.14233,0.82336,0.99916,0.96331,0.98234,0.98052,0.11802,0.09015,0.8306,0.006964,0.006964,0.006964
94,14021.1,0.17729,0.14523,0.82325,0.99916,0.96302,0.98246,0.98063,0.11781,0.08991,0.83059,0.006931,0.006931,0.006931
95,14169,0.17314,0.14198,0.82246,0.99916,0.96317,0.98246,0.98063,0.11778,0.09003,0.83067,0.006898,0.006898,0.006898
96,14318.5,0.17402,0.14195,0.82344,0.99916,0.96279,0.98252,0.98069,0.11733,0.0897,0.83046,0.006865,0.006865,0.006865
97,14465.6,0.17114,0.14084,0.82155,0.99916,0.96272,0.98256,0.98072,0.11721,0.08954,0.83044,0.006832,0.006832,0.006832
98,14613.8,0.17288,0.14121,0.82292,0.9992,0.96288,0.98254,0.9807,0.11729,0.08966,0.83051,0.006799,0.006799,0.006799
99,14763,0.17519,0.14007,0.82438,0.99898,0.96307,0.98256,0.98068,0.11742,0.08999,0.83055,0.006766,0.006766,0.006766
100,14910.3,0.17252,0.14187,0.82312,0.99873,0.96296,0.9825,0.98063,0.11728,0.08983,0.83046,0.006733,0.006733,0.006733
101,15058.9,0.171,0.14109,0.82146,0.99837,0.96305,0.98257,0.98065,0.11716,0.08998,0.83029,0.0067,0.0067,0.0067
102,15208.3,0.16997,0.13881,0.82259,0.99828,0.96312,0.98249,0.98061,0.1171,0.09022,0.83014,0.006667,0.006667,0.006667
103,15355.8,0.17473,0.14172,0.82252,0.99812,0.96312,0.9825,0.98066,0.11694,0.0903,0.83004,0.006634,0.006634,0.006634
104,15504.9,0.17099,0.1399,0.82209,0.99785,0.96312,0.98251,0.98062,0.11679,0.08991,0.82998,0.006601,0.006601,0.006601
105,15656.3,0.17051,0.13908,0.81819,0.99691,0.96322,0.98251,0.98063,0.11664,0.08985,0.83004,0.006568,0.006568,0.006568
106,15803.7,0.17059,0.14047,0.82204,0.99634,0.96337,0.98251,0.98062,0.11647,0.08971,0.83005,0.006535,0.006535,0.006535
107,15953,0.16832,0.13861,0.81973,0.99629,0.9632,0.98252,0.98067,0.11647,0.08985,0.82999,0.006502,0.006502,0.006502
108,16100.6,0.16904,0.14064,0.81934,0.99541,0.96329,0.98264,0.98073,0.11642,0.08988,0.82992,0.006469,0.006469,0.006469
109,16248.5,0.16801,0.1394,0.82197,0.99464,0.96329,0.98261,0.98068,0.1162,0.08998,0.82997,0.006436,0.006436,0.006436
110,16398.1,0.16719,0.1363,0.82162,0.99356,0.96337,0.98255,0.98066,0.11597,0.09012,0.83001,0.006403,0.006403,0.006403
111,16545.1,0.16919,0.13804,0.81971,0.99324,0.96329,0.98261,0.98067,0.11536,0.08975,0.82987,0.00637,0.00637,0.00637
112,16693.2,0.16577,0.13734,0.8207,0.99278,0.96345,0.98261,0.98068,0.11501,0.08953,0.82976,0.006337,0.006337,0.006337
113,16843.6,0.16502,0.13543,0.81968,0.99357,0.96312,0.98263,0.98069,0.11439,0.08928,0.82962,0.006304,0.006304,0.006304
114,16990.6,0.16554,0.13753,0.82136,0.9929,0.9632,0.98258,0.98064,0.11404,0.08935,0.82956,0.006271,0.006271,0.006271
115,17138.8,0.16372,0.13459,0.81903,0.99254,0.96304,0.98259,0.98065,0.11368,0.08933,0.82949,0.006238,0.006238,0.006238
116,17288.3,0.16462,0.13554,0.81889,0.99255,0.96329,0.98267,0.98073,0.11335,0.08892,0.82956,0.006205,0.006205,0.006205
117,17435.3,0.16454,0.13595,0.8187,0.99179,0.9637,0.98277,0.98082,0.11306,0.08865,0.82946,0.006172,0.006172,0.006172
118,17584.1,0.16386,0.13633,0.81949,0.99322,0.96336,0.98282,0.98087,0.11291,0.08857,0.82952,0.006139,0.006139,0.006139
119,17732.6,0.16289,0.13541,0.8194,0.99163,0.9637,0.98286,0.98091,0.11262,0.08846,0.82949,0.006106,0.006106,0.006106
120,17880.1,0.16101,0.13553,0.81829,0.99147,0.96403,0.98289,0.98093,0.11216,0.08808,0.82931,0.006073,0.006073,0.006073
121,18030.9,0.16149,0.13554,0.81754,0.9911,0.96428,0.98288,0.98092,0.11197,0.08823,0.82924,0.00604,0.00604,0.00604
122,18178,0.16836,0.13724,0.83342,0.9911,0.96408,0.98281,0.98091,0.11159,0.08811,0.82918,0.006007,0.006007,0.006007
123,18325.9,0.16512,0.13852,0.82275,0.99014,0.96445,0.98284,0.9809,0.11136,0.08814,0.82889,0.005974,0.005974,0.005974
124,18475.3,0.16206,0.13662,0.81916,0.98986,0.96428,0.98286,0.98092,0.1109,0.08771,0.82885,0.005941,0.005941,0.005941
125,18622.4,0.15992,0.13505,0.81713,0.98889,0.96428,0.98281,0.98087,0.11056,0.08758,0.82868,0.005908,0.005908,0.005908
126,18770.6,0.16137,0.1345,0.8204,0.98822,0.96445,0.9828,0.98085,0.11028,0.08742,0.82862,0.005875,0.005875,0.005875
127,18919.9,0.16069,0.13431,0.82099,0.98763,0.96436,0.98272,0.98082,0.11037,0.08782,0.82873,0.005842,0.005842,0.005842
128,19067.1,0.15979,0.13324,0.82118,0.98692,0.9647,0.98268,0.98078,0.1104,0.08742,0.82877,0.005809,0.005809,0.005809
129,19216.4,0.16025,0.13396,0.81855,0.98576,0.96478,0.98266,0.98077,0.11057,0.08765,0.82882,0.005776,0.005776,0.005776
130,19365.4,0.17174,0.1395,0.83116,0.98518,0.96486,0.98269,0.98079,0.11057,0.08787,0.82886,0.005743,0.005743,0.005743
131,19512.8,0.1609,0.13434,0.82006,0.98542,0.96465,0.98271,0.9808,0.11053,0.08814,0.82901,0.00571,0.00571,0.00571
132,19661.7,0.15985,0.13299,0.81863,0.98763,0.96411,0.98271,0.98081,0.11017,0.0874,0.829,0.005677,0.005677,0.005677
133,19809.2,0.1596,0.13289,0.81963,0.98654,0.96436,0.98273,0.98083,0.11013,0.08743,0.82898,0.005644,0.005644,0.005644
134,19957.2,0.16173,0.13433,0.81939,0.98597,0.96486,0.98275,0.98085,0.11007,0.08737,0.82886,0.005611,0.005611,0.005611
135,20106.7,0.16394,0.13625,0.82126,0.98588,0.96478,0.98278,0.98088,0.11023,0.08742,0.82886,0.005578,0.005578,0.005578
136,20253.9,0.16038,0.13974,0.82453,0.98292,0.96512,0.98281,0.98091,0.1102,0.08744,0.82897,0.005545,0.005545,0.005545
137,20402.4,0.15701,0.13281,0.81839,0.98271,0.9652,0.98285,0.98095,0.11007,0.08742,0.82897,0.005512,0.005512,0.005512
