season,week,celebrity_name,judge_score_total,vote_share_hat,Z_Judge,Z_Fan,Composite_Score,Is_Eliminated,Is_Bottom2
26,1,Adam Rippon,24.0,0.10294976,1.2026755886059097,0.4675871227077808,0.8351313556568453,0,0
26,2,Adam Rippon,37.0,0.13833793,1.3170110093616316,1.0815636056938234,1.1992873075277275,0,0
26,3,Adam Rippon,41.0,0.18806851,1.416180239306782,0.9995891105243307,1.2078846749155563,0,0
26,4,Adam Rippon,29.0,0.29922748,1.0,-1.1011528584466403,-0.050576429223320174,0,1
32,1,Adrian Peterson,18.0,0.07639436,0.42823542583175445,0.3243556818837653,0.37629555385775987,0,0
32,2,Adrian Peterson,15.0,0.082080014,-0.9036791441564663,0.32701471721715825,-0.28833221346965404,0,0
32,3,Adrian Peterson,22.0,0.085950896,-1.0095229522296474,0.14567058560644003,-0.4319261833116037,0,1
32,4,Adrian Peterson,21.0,0.03691227,-0.2795894086082409,-2.9435125004923006,-1.6115509545502706,0,1
10,1,Aiden Turner,15.0,0.09433314,-1.1846977555181846,0.33353954391352647,-0.42557910580232905,0,0
10,2,Aiden Turner,19.0,0.09545135,-0.22360679774997896,0.4861844734825331,0.13128883786627704,0,0
10,3,Aiden Turner,20.0,0.108473904,-0.07890487954095626,0.6711981284133639,0.2961466244362038,0,0
10,4,Aiden Turner,16.5,0.09119145,-1.1220818398596757,-1.7772500555599142,-1.449665947709795,0,1
5,1,Albert Reed,21.0,0.07351877,-0.1418449445479997,-0.8726810276110413,-0.5072629860795205,0,0
5,2,Albert Reed,21.0,0.06300477,-0.18802535827258882,-2.3642926709581267,-1.2761590146153576,0,1
21,1,Alek Skarlatos,22.0,0.058161363,0.6188222706555677,-2.2731817211301566,-0.8271797252372944,0,1
21,2,Alek Skarlatos,22.5,0.06589785,0.5595380708016264,-1.1197659263628676,-0.2801139277806206,0,0
21,3,Alek Skarlatos,33.0,0.090662666,0.5073825686188038,-0.7793050207968575,-0.13596122608902683,0,0
21,4,Alek Skarlatos,24.0,0.08917756,0.09720503535124982,-0.8576885700037524,-0.3802417673262513,0,0
21,5,Alek Skarlatos,29.0,0.098627925,-0.8839913921757274,-1.0307707528778691,-0.9573810725267983,1,1
21,6,Alek Skarlatos,30.0,0.096241765,-0.8082335533562615,-0.8767238365776606,-0.842478694966961,0,1
21,7,Alek Skarlatos,26.5,0.110068075,-1.4230249470757705,-0.9496277862562824,-1.1863263666660264,1,1
21,8,Alek Skarlatos,25.0,0.13479292,-0.9270644609622698,-0.5109392382110856,-0.7190018495866777,0,1
21,9,Alek Skarlatos,25.5,0.1727618,-0.845268395353621,0.30169985155082846,-0.27178427190139626,0,0
21,10,Alek Skarlatos,28.5,0.23878995,-0.5,-0.6429429596940233,-0.5714714798470116,1,1
21,11,Alek Skarlatos,27.9999,0.27161393,-1.4999999999999991,0.747913170288439,-0.3760434148557801,1,1
21,1,Alexa PenaVega,22.0,0.08025045,0.6188222706555677,0.40314706135040823,0.510984666002988,0,0
21,2,Alexa PenaVega,23.0,0.08310635,0.7248561371748341,0.627998798457228,0.676427467816031,0,0
21,3,Alexa PenaVega,36.0,0.11015494,1.1162416509613684,0.847543130364474,0.9818923906629212,0,0
21,4,Alexa PenaVega,21.0,0.1116841,-0.6318327297831264,0.9259751130486652,0.14707119163276938,0,0
21,5,Alexa PenaVega,40.0,0.12126064,1.3038873034591987,0.8380752206817723,1.0709812620704855,0,0
21,6,Alexa PenaVega,30.0,0.12472703,-0.8082335533562615,0.8028193877042998,-0.002707082825980811,0,0
21,7,Alexa PenaVega,27.5,0.13395241,-0.15811388300841897,0.5693466790344937,0.20561639801303733,0,0
21,8,Alexa PenaVega,26.9998,0.15518193,-0.2440110717380614,0.7808837154153828,0.26843632183866073,0,0
21,9,Alexa PenaVega,30.0,0.12685801,1.139274793737488,-1.9704674800374524,-0.4155963431499822,0,1
16,1,Alexandra Raisman,21.0,0.08348922,0.6524867449207971,0.023532877579032555,0.3380098112499148,0,0
16,2,Alexandra Raisman,24.0,0.08189726,0.9973807251555492,-0.25392332364021847,0.3717287007576654,0,0
