epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,9184.29,0.22012,0.15081,0.79295,0.99997,0.99991,0.995,0.99486,0.11781,0.08293,0.75981,0.007921,0.007921,0.007921
65,9326.54,0.22273,0.15269,0.79371,0.99997,0.99991,0.995,0.99486,0.11735,0.08295,0.75974,0.007888,0.007888,0.007888
66,9469.19,0.21743,0.1507,0.79229,0.99997,0.99991,0.995,0.99487,0.11716,0.08275,0.75973,0.007855,0.007855,0.007855
67,9613.15,0.21592,0.15036,0.79126,0.99997,0.99991,0.995,0.99485,0.1169,0.08223,0.75981,0.007822,0.007822,0.007822
68,9755.42,0.21735,0.1506,0.79163,0.99997,0.99991,0.995,0.99487,0.11665,0.0823,0.75981,0.007789,0.007789,0.007789
69,9897.94,0.2162,0.15008,0.79246,0.99997,0.99991,0.995,0.99486,0.11625,0.0822,0.75976,0.007756,0.007756,0.007756
70,10042,0.21827,0.15035,0.79117,0.99998,0.99991,0.995,0.99486,0.11595,0.08195,0.7597,0.007723,0.007723,0.007723
71,10184.2,0.2142,0.14854,0.79166,0.99997,0.99991,0.995,0.99485,0.11564,0.08183,0.75966,0.00769,0.00769,0.00769
72,10327.2,0.21274,0.14843,0.79074,0.99998,0.99991,0.995,0.99486,0.11525,0.08183,0.75959,0.007657,0.007657,0.007657
73,10471.1,0.20982,0.14742,0.79067,0.99998,0.99991,0.995,0.99484,0.11507,0.08194,0.75956,0.007624,0.007624,0.007624
74,10613.3,0.21362,0.14801,0.79174,0.99998,0.99991,0.995,0.99486,0.11472,0.08165,0.75948,0.007591,0.007591,0.007591
75,10756,0.21318,0.14748,0.79288,0.99998,0.99991,0.995,0.99484,0.11463,0.08181,0.75945,0.007558,0.007558,0.007558
76,10899.9,0.21252,0.14833,0.79189,0.99998,0.99991,0.995,0.99485,0.11423,0.08189,0.75943,0.007525,0.007525,0.007525
77,11042.1,0.20902,0.1491,0.79086,0.99998,0.99991,0.995,0.99486,0.11444,0.08218,0.75957,0.007492,0.007492,0.007492
78,11184.6,0.20386,0.14551,0.79015,0.99998,0.99991,0.995,0.99486,0.11419,0.08202,0.75955,0.007459,0.007459,0.007459
79,11328.6,0.20902,0.146,0.7902,0.99998,0.99991,0.995,0.99485,0.11386,0.08219,0.75944,0.007426,0.007426,0.007426
80,11471.2,0.20747,0.14549,0.79114,0.99998,0.99991,0.995,0.99486,0.11374,0.08209,0.75951,0.007393,0.007393,0.007393
81,11613.9,0.20974,0.14793,0.79153,0.99998,0.99991,0.995,0.99485,0.11348,0.08223,0.75957,0.00736,0.00736,0.00736
82,11757.8,0.20838,0.14726,0.79036,0.99998,0.99991,0.995,0.99485,0.11337,0.08232,0.75961,0.007327,0.007327,0.007327
83,11904.4,0.20679,0.14561,0.79032,0.99998,0.99991,0.995,0.99485,0.11306,0.08279,0.75951,0.007294,0.007294,0.007294
84,12047,0.20926,0.14805,0.78983,0.99998,0.99991,0.995,0.99485,0.11325,0.08347,0.75958,0.007261,0.007261,0.007261
85,12190.4,0.20611,0.14637,0.78976,0.99998,0.99991,0.995,0.99486,0.11292,0.08407,0.75946,0.007228,0.007228,0.007228
86,12336.3,0.20486,0.14533,0.79012,0.99998,0.99991,0.995,0.99486,0.11288,0.08452,0.75942,0.007195,0.007195,0.007195
87,12480.5,0.20085,0.14194,0.78929,0.99998,0.99991,0.995,0.99486,0.11281,0.0851,0.75943,0.007162,0.007162,0.007162
88,12624.9,0.20256,0.14296,0.79022,0.99998,0.99991,0.995,0.99486,0.11215,0.08551,0.75925,0.007129,0.007129,0.007129
89,12767.5,0.20221,0.14131,0.79012,0.99998,0.99991,0.995,0.99484,0.11227,0.0861,0.75921,0.007096,0.007096,0.007096
90,12910.3,0.20417,0.14403,0.7902,0.99998,0.99991,0.995,0.99484,0.11199,0.08633,0.75914,0.007063,0.007063,0.007063
91,13054.8,0.20114,0.14279,0.79041,0.99998,0.99991,0.995,0.99482,0.11187,0.08653,0.759,0.00703,0.00703,0.00703
92,13197.2,0.19946,0.14168,0.78888,0.99998,0.99991,0.995,0.99482,0.11179,0.08648,0.75883,0.006997,0.006997,0.006997
93,13341.9,0.1995,0.14172,0.78948,0.99998,0.99991,0.995,0.99481,0.11179,0.08537,0.75891,0.006964,0.006964,0.006964
94,13486.4,0.20148,0.14226,0.78884,0.99998,0.99991,0.995,0.99479,0.11152,0.08406,0.75896,0.006931,0.006931,0.006931
95,13629,0.19851,0.1423,0.7883,0.99998,0.99991,0.995,0.9948,0.11136,0.08301,0.75903,0.006898,0.006898,0.006898
96,13772,0.19773,0.14185,0.79024,0.99998,0.99991,0.995,0.9948,0.11098,0.08226,0.75901,0.006865,0.006865,0.006865
97,13916.3,0.1992,0.14052,0.78843,0.99998,0.99991,0.995,0.99479,0.11098,0.08179,0.759,0.006832,0.006832,0.006832
98,14059.9,0.19867,0.14218,0.78904,0.99998,0.99991,0.995,0.99481,0.11093,0.08136,0.75894,0.006799,0.006799,0.006799
99,14202.7,0.19808,0.14071,0.78982,0.99998,0.99991,0.995,0.99477,0.11089,0.081,0.75895,0.006766,0.006766,0.006766
100,14346.3,0.19964,0.14156,0.78947,0.99998,0.99991,0.995,0.99478,0.11049,0.08096,0.75885,0.006733,0.006733,0.006733
101,14492.7,0.19518,0.1419,0.79013,0.99998,0.99991,0.995,0.99477,0.11035,0.08075,0.75887,0.0067,0.0067,0.0067
102,14635.4,0.19496,0.13956,0.78903,0.99998,0.99991,0.995,0.99477,0.11021,0.0808,0.75894,0.006667,0.006667,0.006667
103,14778.3,0.1948,0.1396,0.78852,0.99998,0.99991,0.995,0.99478,0.11001,0.08082,0.75885,0.006634,0.006634,0.006634
104,14922.8,0.19449,0.13835,0.78963,0.99998,0.99991,0.995,0.99477,0.10979,0.0806,0.75883,0.006601,0.006601,0.006601
105,15065.3,0.19314,0.13886,0.78978,0.99998,0.99991,0.995,0.99477,0.1096,0.08043,0.7588,0.006568,0.006568,0.006568
