epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,12677,0.19197,0.13556,0.79428,0.99999,1,0.995,0.99499,0.10022,0.07166,0.76004,0.007129,0.007129,0.007129
89,12818.9,0.1948,0.13643,0.79528,0.99999,1,0.995,0.99499,0.10007,0.07155,0.75998,0.007096,0.007096,0.007096
90,12962,0.1924,0.13641,0.79532,0.99999,1,0.995,0.99499,0.09985,0.07172,0.76005,0.007063,0.007063,0.007063
91,13110.9,0.18962,0.13483,0.79447,0.99999,1,0.995,0.99499,0.09968,0.07152,0.76003,0.00703,0.00703,0.00703
92,13284.3,0.19194,0.13552,0.79424,0.99999,1,0.995,0.99499,0.09954,0.07141,0.76,0.006997,0.006997,0.006997
93,13452.5,0.19042,0.1344,0.79512,0.99999,1,0.995,0.99499,0.09917,0.07125,0.75999,0.006964,0.006964,0.006964
94,13626.6,0.19024,0.13396,0.79617,0.99999,1,0.995,0.99499,0.09877,0.07113,0.75991,0.006931,0.006931,0.006931
95,13798.6,0.18926,0.13539,0.79459,0.99999,1,0.995,0.99499,0.09844,0.07108,0.75979,0.006898,0.006898,0.006898
96,13970.2,0.18873,0.13599,0.79489,0.99999,1,0.995,0.99499,0.0983,0.07107,0.75979,0.006865,0.006865,0.006865
97,14140.4,0.18496,0.13313,0.7939,0.99999,1,0.995,0.99499,0.098,0.07086,0.75976,0.006832,0.006832,0.006832
98,14283.8,0.18539,0.1337,0.79412,0.99999,1,0.995,0.99499,0.09782,0.07081,0.75967,0.006799,0.006799,0.006799
99,14425.7,0.18314,0.13223,0.79236,0.99999,1,0.995,0.99499,0.09732,0.07049,0.75967,0.006766,0.006766,0.006766
100,14570.2,0.18364,0.13145,0.79259,0.99999,1,0.995,0.99499,0.09675,0.07012,0.75962,0.006733,0.006733,0.006733
101,14767.7,0.18295,0.13181,0.79527,0.99999,1,0.995,0.99499,0.09647,0.07002,0.75956,0.0067,0.0067,0.0067
102,14921,0.18135,0.1322,0.7927,0.99999,1,0.995,0.99499,0.09615,0.0699,0.75964,0.006667,0.006667,0.006667
103,15093,0.1822,0.13154,0.79402,0.99999,1,0.995,0.99499,0.09585,0.07004,0.75969,0.006634,0.006634,0.006634
104,15242.2,0.18249,0.13081,0.79393,0.99999,1,0.995,0.99499,0.09556,0.0703,0.75968,0.006601,0.006601,0.006601
105,15386.5,0.18005,0.13131,0.79312,1,1,0.995,0.99498,0.09511,0.06987,0.75963,0.006568,0.006568,0.006568
106,15555.8,0.18516,0.13184,0.79448,1,1,0.995,0.99499,0.09485,0.07006,0.75968,0.006535,0.006535,0.006535
107,15729.6,0.18696,0.13141,0.79408,1,1,0.995,0.99499,0.09461,0.07033,0.75967,0.006502,0.006502,0.006502
108,15872.3,0.18491,0.13252,0.79371,1,1,0.995,0.99499,0.09428,0.07004,0.75959,0.006469,0.006469,0.006469
109,16038.2,0.18073,0.12987,0.79352,0.99999,1,0.995,0.99499,0.09397,0.06989,0.75959,0.006436,0.006436,0.006436
110,16241.2,0.18052,0.12908,0.79374,0.99999,1,0.995,0.995,0.09342,0.06961,0.75961,0.006403,0.006403,0.006403
111,16447,0.17953,0.12927,0.79282,1,1,0.995,0.995,0.09305,0.06943,0.75956,0.00637,0.00637,0.00637
112,16645.8,0.17709,0.12945,0.79402,0.99999,1,0.995,0.99499,0.09267,0.06938,0.75949,0.006337,0.006337,0.006337
